penNumber,specieType_id,dateTimeRecorded,totalCount,comments
0,AMO,2021-12-30 22:53:16.715074,394,306 snails b/f @ 2021-12-27 15:58:00 + 0 newBreederStocks - 0 totalMortalities + 88 newBabySnails + 0 stockAdjustments = 394
52,AMS,2021-12-27 13:18:00,95,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 95 snailReshuffle = 95
53,AMO,2021-12-31 06:14:00,78,79 snails b/f @ 2021-12-30 22:36:00 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 78
54,AMO,2021-12-31 06:14:00,80,82 snails b/f @ 2021-12-27 13:10:00 + 0 newBreederStocks - 2 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 80
55,AMO,2021-12-31 06:14:00,95,96 snails b/f @ 2021-12-30 22:36:36 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 95
56,AMO,2021-12-31 06:14:00,66,73 snails b/f @ 2021-12-30 22:37:38 + 0 newBreederStocks - 7 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 66
57,AMO,2021-12-31 06:14:00,89,90 snails b/f @ 2021-12-29 16:24:42 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 89
58,AMO,2021-12-30 22:38:50.043295,87,88 snails b/f @ 2021-12-29 16:25:00 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 87
59,AMO,2021-12-31 06:14:00,89,90 snails b/f @ 2021-12-30 22:39:44 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 89
60,AMO,2021-12-29 16:25:21.669827,92,93 snails b/f @ 2021-12-28 15:00:00 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 92
61,AMO,2021-12-30 07:59:31.566261,94,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 94 stockAdjustments = 94
62,AMO,2021-12-31 06:14:00,88,90 snails b/f @ 2021-12-30 22:40:45 + 0 newBreederStocks - 2 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 88
63,AMO,2021-12-31 09:14:00,94,95 snails b/f @ 2021-12-31 06:48:06 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 94
66,AMS,2021-12-31 16:50:00,97,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 97 stockAdjustments = 97
67,AMS,2021-12-31 16:20:00,97,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 97 stockAdjustments = 97
68,AMO,2021-12-31 16:20:00,95,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 95 stockAdjustments = 95
70,AMO,2021-12-31 11:20:00,97,98 snails b/f @ 2021-12-31 06:53:32 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 97
71,AMO,2021-12-31 11:20:00,96,97 snails b/f @ 2021-12-31 06:54:15 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 96
72,AMO,2021-12-31 16:33:00,97,93 snails b/f @ 2021-12-31 06:50:52 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 4 stockAdjustments = 97
73,AMO,2021-12-31 06:32:39.439188,99,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 99 stockAdjustments = 99
74,AMO,2021-12-31 06:30:32.401450,100,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 100 stockAdjustments = 100
75,AMO,2021-12-31 06:34:41.222469,93,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 93 stockAdjustments = 93
76,AMO,2021-12-31 06:35:59.871911,100,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 100 stockAdjustments = 100
77,AMO,2021-12-31 11:20:00,98,100 snails b/f @ 2021-12-31 06:39:17 + 0 newBreederStocks - 2 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 98
78,AMO,2021-12-31 06:37:45.125418,91,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 91 stockAdjustments = 91
82,AMS,2021-12-31 16:55:00,106,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 106 stockAdjustments = 106
83,AMO,2021-12-31 16:55:00,100,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 100 stockAdjustments = 100
84,AMS,2021-12-31 16:52:00,100,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 100 stockAdjustments = 100
85,AMO,2021-12-31 16:55:00,82,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 82 stockAdjustments = 82
86,AMO,2021-12-31 06:55:16.913484,98,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 98 stockAdjustments = 98
87,AMO,2021-12-31 06:56:11.270384,96,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 96 stockAdjustments = 96
89,AMO,2021-12-31 06:48:59.718816,97,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 97 stockAdjustments = 97
90,AMO,2021-12-31 11:20:00,91,92 snails b/f @ 2021-12-31 06:46:12 + 0 newBreederStocks - 1 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 91
91,AMO,2021-12-31 06:41:36.476971,90,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 90 stockAdjustments = 90
92,AMO,2021-12-31 06:40:27.939750,98,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 98 stockAdjustments = 98
93,AMO,2021-12-31 11:20:00,90,95 snails b/f @ 2021-12-31 06:42:56 + 0 newBreederStocks - 5 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 90
94,AMO,2021-12-31 07:25:00,88,90 snails b/f @ 2021-12-31 06:14:00 + 0 newBreederStocks - 2 totalMortalities + 0 newBabySnails + 0 stockAdjustments = 88
103,AMO,2021-12-31 16:55:00,97,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 97 stockAdjustments = 97
104,AMO,2021-12-31 18:40:00,97,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 97 stockAdjustments = 97
106,AMO,2021-12-31 16:55:00,98,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 98 stockAdjustments = 98
107,AMO,2021-12-31 20:40:00,92,0 snails b/f @ 2021-12-22 13:49:38 + 0 newBreederStocks - 0 totalMortalities + 0 newBabySnails + 92 stockAdjustments = 92
158,AMO,2021-12-22 13:49:38,8,
